2.000000000000000000e+00	3.156393306999234483e+00
2.000000000000000000e+00	8.054060152004240081e+00
2.000000000000000000e+00	9.814712321000115480e+00
2.000000000000000000e+00	1.302014588400197681e+01
2.000000000000000000e+00	8.358636915600072825e+01
2.000000000000000000e+00	8.386687500100379111e+01
1.000000000000000000e+00	8.430210756300220964e+01
1.000000000000000000e+00	8.455222562400012976e+01
2.000000000000000000e+00	8.490333379000367131e+01
2.000000000000000000e+00	8.514259416900313227e+01
